SNO,Location,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Avg,Year
1,Nizamabad,62.33333333,63.66666667,66.33333333,68.33333333,68.66666667,38,56.77777778,58.22222222,56.44444444,64.22222222,60.11111111,62,60.42592593,2016
2,Adilabad,67.33333333,68.33333333,71.11111111,69.55555556,70.55555556,40.11111111,59.88888889,60.88888889,58,66.88888889,62.66666667,65,63.36111111,2016
3,"Kuda, warangal",73.33333333,72.22222222,67.66666667,73.51851852,75.88888889,72.16666667,56.875,43.70833333,47.85714286,62,55.75,83,65.33223104,2016
4,"Mee-Seva, Warangal",75.77777778,72.11111111,63.11111111,73.37037037,84.11111111,68.33333333,63.22916667,38.16666667,51.66666667,60.75,83.44444444,84,68.1726466,2016
5,Karimnagar,69.22222222,59.125,44,62.19444444,52.25,48.11111111,31.60416667,35.51851852,31,56.2,68.77777778,84,53.50027006,2016
6,Khammam,46.66666667,51.33333333,53.88888889,50.81481481,47.44444444,46.85714286,40.75925926,36.95833333,38.57142857,47.66666667,54.77777778,60,47.97822972,2016
7,Nizamabad,61.33333333,61.55555556,63.22222222,67.37037037,68.40740741,62.55555556,57,59.55555556,59.44444444,61.44444444,61,58.88888889,61.81481481,2017
8,Adilabad,63.66666667,63.55555556,67.66666667,68.96296296,70.62962963,65.62962963,62,59.55555556,61.44444444,65.11111111,63.44444444,63.62962963,64.60802469,2017
9,"Kuda, warangal",73,69.88888889,65.03703704,73.51851852,71.07407407,62.66666667,58.55555556,56.14583333,67.66666667,58.72222222,65.03703704,69.62962963,65.91184414,2017
10,"Mee-Seva, Warangal",75.88888889,77.85185185,70.77777778,72,68.04166667,61.16666667,47.5,59.54166667,61.57142857,62.46296296,75.51851852,77.7037037,67.50209436,2017
11,Karimnagar,83.77777778,74.68518519,85.52083333,78.85185185,81.66666667,59.44444444,55.33333333,54.70833333,61.55555556,71,90.53703704,89.96296296,73.92033179,2017
12,Khammam,60.44444444,64.44444444,54.40740741,54.55555556,56.96296296,42.31481481,40.66666667,53.18333333,49.98148148,63.33333333,54.2962963,59.68888889,54.52330247,2017
13,Nizamabad,60.66666667,60.55555556,66.11111111,69.77777778,54,64.18518519,58.55555556,60,64.22222222,48.11111111,59.81481481,62,60.66666667,2018
14,Adilabad,66.11111111,67,70.33333333,73.51851852,74.11111111,68.66666667,63.77777778,64,61.55555556,67.11111111,74.77777778,81,69.33024691,2018
15,"Kuda, warangal",116.5555556,91,79.96350375,81.64262619,84.2218114,85.55549123,72.83081152,78.63888889,80.74768273,85.71369782,95.66666667,86,86.54472798,2018
16,"Mee-Seva, Warangal",94.11111111,96.44444444,79.22222222,82.66666667,81.11111111,83.88888889,69.5,72.83333333,80.0659859,89.2815087,94.22222222,88,84.27895788,2018
17,Karimnagar,111.4444444,87.22222222,88.66666667,99.55555556,99.77777778,99.88888889,88.85714286,90.85714286,99.66666667,97.77777778,106.4444444,100,97.51322751,2018
18,Khammam,64,67.88888889,71.470126,77.09990149,77.03220217,82.81968803,74.85694541,78.85714286,84.14814815,84.69765305,91.77777778,88,78.55403949,2018
19,Nizamabad,64.37037037,60.88888889,61.14814815,62,64.48148148,68.88888889,72,70.55555556,61.16666667,69.33333333,61.77777778,66.44444444,65.25462963,2019
20,Adilabad,76.33333333,76.77777778,78.55555556,78,80.33333333,76.55555556,78,79,73.44444444,72.37037037,78.66666667,73.37037037,76.78395062,2019
21,"Kuda, warangal",88.18518519,90.2962963,90.40740741,94.07466196,92.14814815,88.16666667,89.14814815,81.72916667,75.54166667,91,87.55555556,90.18518519,88.20317399,2019
22,"Mee-Seva, Warangal",90.55555556,90.81481481,92.14814815,89.05613015,93.07407407,85.64814815,86.87037037,79.875,72.91666667,85.33333333,90.59259259,87.25925926,87.01200776,2019
23,Karimnagar,104.3333333,102,103.3333333,109.1428571,103.2222222,99.44444444,99.55555556,99.375,96.75,102,104.5555556,112.2222222,102.9945436,2019
24,Khammam,94.37037037,90.44444444,90.66666667,89.89248971,88.22222222,81.38888889,77.29156684,84.08333333,77.92592593,85.94444444,84.85185185,84.22222222,85.77536891,2019
25,Nizamabad,64,63.55555556,66.44444444,38.33333333,50,52,63,60,62,62,62.55555556,81,60.40740741,2020
26,Adilabad,78,81.7037037,70.81481481,51.5,,74,74,72,72,72,,,71.77983539,2020
27,"Kuda, warangal",91.51851852,88,65,38,41,42.11111111,57,67.25,51,59,85.33333333,59.44444444,62.05478395,2020
28,"Mee-Seva, Warangal",89,88,74,41,65,58.25,67,60.8,55,61,91.88888889,91.44444444,70.19861111,2020
29,Karimnagar,110.6666667,114,110,39,72,58.33333333,114,70,96,137,113.5555556,108,95.21296297,2020
30,Khammam,88.2962963,84,83,80,63,47.88888889,70,37.14285714,52,62,82.5,94.88888889,70.3930776,2020
31,Nizamabad,68.59259259,68,66,69,41,,54,45,43,59,66,56.74074074,57.84848485,2021
32,Adilabad,,62,73,74,67,,,,,,,,69,2021
33,"Kuda, warangal",78.22222222,85,57,58,43,44,86,40,63.85475305,49,58,55,59.75641461,2021
34,"Mee-Seva, Warangal",81.25925926,88,75,71,51,81,57,60,55.13437612,64,65,69,68.11613628,2021
35,Karimnagar,109.625,110,69,73,68,72,57,64,65.52192329,68,73,82,75.92891027,2021
36,Khammam,99.77777778,84,68,54,,88,69,67,84.93873676,61,86,78,76.33786496,2021
37,Nizamabad,56,59,64,58,56.22222222,54,46,53,54,63,56,59,56.51851852,2022
38,Adilabad,,,56,65,60.14814815,58,48,56,56,65,58,62,58.41481482,2022
39,"Kuda, warangal",58,64,49.10582565,66.17393005,53.70453041,72,40.42857143,43,41,64,49,116,59.70107146,2022
40,"Mee-Seva, Warangal",73,72.51405262,76.05774698,60.08003077,77.09464995,85,47.26863695,56,48,64,94,94,70.58459311,2022
41,Karimnagar,82,90.33333333,95.66666667,69.92621533,76.24128215,89,69.19779102,55,58,63,101,126,81.28044071,2022
42,Khammam,80,78.0793,76.51851852,79.36573096,76.61111111,81,72.5,58,42,57,78,115,74.50622172,2022
